LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID5982 → ID5984,0,5982,5984,-1.0,1.869295258381076,8.94427190999916,8.94427190999916,1.5,919.5,713.5,0.0,
ID5980 → ID5982,0,5980,5982,-1.0,NaN,12.165525060596439,12.165525060596439,0.5,924.5,717.5,0.0,
ID6005 → ID6007,1,6005,6007,-1.0,2.588751431997254,10.0,10.0,1.5,906.5,703.5,0.0,
ID6003 → ID6005,1,6003,6005,-1.0,NaN,22.090722034374522,22.090722034374522,0.5,908.5,710.5,0.0,
ID6019 → ID6022,2,6019,6022,-1.0,2.5535900500422257,7.211102550927978,7.211102550927978,1.5,863.5,856.5,0.0,
ID6017 → ID6019,2,6017,6019,-1.0,NaN,20.0,20.0,0.5,861.5,863.5,0.0,
ID6033 → ID6040,3,6033,6040,-1.0,2.79856871316909,11.661903789690601,11.661903789690601,1.5,1052.5,734.5,0.0,
ID6031 → ID6033,3,6031,6033,-1.0,NaN,10.198039027185569,10.198039027185569,0.5,1054.5,734.5,0.0,
ID6063 → ID6066,4,6063,6066,-1.0,NaN,12.165525060596439,12.165525060596439,0.5,992.5,725.5,0.0,
ID6066 → ID6069,4,6066,6069,-1.0,3.141592653589793,12.165525060596439,12.165525060596439,1.5,992.5,725.5,0.0,
ID6066 → ID6073,4,6066,6073,-1.0,2.926234953892055,21.540659228538015,21.540659228538015,1.5,995.5,729.5,0.0,
ID6084 → ID6086,5,6084,6086,-1.0,NaN,14.142135623730951,14.142135623730951,0.5,928.5,440.5,0.0,
ID6086 → ID6089,5,6086,6089,-1.0,0.7298996581517315,7.211102550927978,7.211102550927978,1.5,929.5,430.5,0.0,
ID6086 → ID6094,5,6086,6094,-1.0,2.0724003809840172,10.0,10.0,1.5,923.5,436.5,0.0,
ID6102 → ID6104,6,6102,6104,-1.0,NaN,8.0,8.0,0.5,1199.5,219.5,0.0,
