LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2130,2130,0,-1.0,925.5,723.5,0.0,27.0,27,5.0,1,,64636.82474226804,65535.0,43176.0,65535.0,6269772.0,3459.9929883428,0.18940796367446733,5.949797484401534,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2132,2132,0,-1.0,933.5,735.5,0.0,28.0,28,5.0,1,,57371.9381443299,65535.0,14649.0,65535.0,5565078.0,15476.4177479362,0.28266183508411896,1.6338571186398065,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2134,2134,0,-1.0,927.5,721.5,0.0,29.0,29,5.0,1,,63229.948453608245,65535.0,31611.0,65535.0,6133305.0,7188.390536673148,0.36012402230359936,4.65794912477424,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2136,2136,0,-1.0,933.5,723.5,0.0,30.0,30,5.0,1,,55710.71134020619,65535.0,13878.0,65535.0,5403939.0,17580.89869062367,0.31283853391314803,1.5102072629885066,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2138,2138,0,-1.0,937.5,723.5,0.0,31.0,31,5.0,1,,50655.49484536082,65535.0,11565.0,65535.0,4913583.0,21035.71834559205,0.23067988210299376,0.9027423777795006,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2140,2140,0,-1.0,933.5,729.5,0.0,32.0,32,5.0,1,,54160.762886597935,65535.0,13107.0,65535.0,5253594.0,18802.440894166044,0.2467213990517923,1.1400868638456285,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2142,2142,0,-1.0,931.5,733.5,0.0,33.0,33,5.0,1,,65376.030927835054,65535.0,53199.0,65535.0,6341475.0,1287.911135437337,0.3229079488805275,24.780596597708513,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2144,2144,0,-1.0,939.5,741.5,0.0,34.0,34,5.0,1,,55829.9381443299,65535.0,13107.0,65535.0,5415504.0,17160.795862113573,0.22397981742047907,1.1906780480711758,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2146,2146,0,-1.0,935.5,727.5,0.0,35.0,35,5.0,1,,58150.886597938144,65535.0,14649.0,65535.0,5640636.0,15291.298225949355,0.25030800349963395,1.5226486537374497,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2019,2019,0,-1.0,991.5,673.5,0.0,0.0,0,5.0,1,,63881.721649484534,65535.0,39321.0,65535.0,6196527.0,4841.811568562321,0.13925081024043415,3.2253519277263467,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
